"零","零 ０ 〇 ゼロ n:  (See 零・れい) zero/nought/(P)
零 ０ 〇 れい n:  zero/nought/(P)"
"百","百 一〇〇 佰 １００ 陌 ひゃく もも はく num:  (陌 and 佰 are used in legal documents) 100/hundred/(P)"
"一千","一千 １０００ 一〇〇〇 １千 いっせん num:  1,000/one thousand/(P)"
"千円","千円 １０００円 せんえん n:  1000 yen/(P)"
"百万","百万 壱百萬 １００００００ １００万 ひゃくまん num:    1,000,000/one million/million/(n)   many/(P)"
"十月","十月 １０月 じゅうがつ n:    October/  tenth month of the lunar calendar/(P)"
"十分","十分 １０分 じっぷん じゅっぷん n:  10 minutes
十分 充分 じゅうぶん adj-na:    enough/sufficient/plenty/adequate/satisfactory/(adv)   sufficiently/fully/thoroughly/well/perfectly/(n,vs)   (十分 only) division into ten/(P)"
"十万","十万 一〇〇〇〇〇 １０００００ １０万 壱拾萬 拾萬 じゅうまん num:  100,000/hundred thousand/(P)"
"十一月","十一月 １１月 じゅういちがつ n:    November/  eleventh month of the lunar calendar/(P)"
"十二月","十二月 １２月 じゅうにがつ n:    December/  twelfth month of the lunar calendar/(P)"
"一割","一割 １割 いちわり n:  ten percent/(P)"
"一月","一月 １月 いちがつ n:    January/  first month of the lunar calendar/(P)
一月 ひと月 ひとつき いちげつ n:  one month/(P)"
"一等","一等 １等 いっとう n adj-no:  first-class/first-rank/A1/the most/the best/(P)"
"一万","一万 １万 一〇〇〇〇 １００００ いちまん num:  10,000/ten thousand/(P)"
"二百","二百 ２百 ２００ 二〇〇 にひゃく num:  200/two hundred/(P)"
"二月","二月 ２月 にがつ n:    February/  second month of the lunar calendar/(P)
二月  ふたつき n:  two months"
"三十","三十 三〇 丗 ３０ 卅 参拾 さんじゅう みそ num:  thirty/30/(P)"
"三百","三百 ３００ ３百 三〇〇 さんびゃく num:    300/three hundred/(n)   (See 文・もん・1) 300 mon/trifling amount/two-bit item/  (abbr) (See 三百代言・1) shyster/(P)"
"三千","三千 三〇〇〇 ３０００ ３千 さんぜん num:    3000/three thousand/(n)   (三千 only) many/(P)"
"三月","三月 ３月 さんがつ n:    March/  third month of the lunar calendar/(P)
三月  みつき n:  three months"
"四十","四十 四拾 ４０ 卌 四〇 よんじゅう しじゅう よそ num:  forty/40/(P)"
"四百","四百 ４百 ４００ 四〇〇 よんひゃく num:  400/four hundred/(P)"
"四千","四千 ４千 ４０００ 四〇〇〇 よんせん しせん num:  four thousand/4,000/(P)"
"四月","四月 ４月 しがつ n:    April/  fourth month in the lunar calendar/(P)
四月  よつき n:  four months"
"五十","五十 五〇 ５０ ごじゅう いそ い num:  fifty/50/(P)"
"五百","五百 ５００ ５百 五〇〇 ごひゃく いお num:    500/five hundred/(n)   many"
"五百円玉","五百円玉 ５００円玉 ５百円玉 ごひゃくえんだま n:  500 yen coin"
"五月","五月 ５月 ごがつ n:    May/  fifth month of the lunar calendar/(P)
五月 皐月 さつき n:    (obs) fifth month of the lunar calendar/  (uk) (also written as 杜鵑花) satsuki azalea (Rhododendron indicum)"
"六十","六十 ６０ 六〇 ろくじゅう むそ num:  sixty/60/(P)"
"六月","六月 ６月 ろくがつ n:    June/  sixth month of the lunar calendar/(P)"
"七十","七十 ７０ 七〇 しちじゅう ななじゅう ななそ num:  seventy/70/(P)"
"七月","七月 ７月 しちがつ n:    July/  seventh month of the lunar calendar/(P)"
"八十","八十 ８０ はちじゅう やそ num:  eighty/80/(P)"
"八月","八月 ８月 はちがつ n:    August/  eighth month of the lunar calendar/(P)"
"九十","九十 ９０ 九〇 きゅうじゅう くじゅう num:  ninety/90/(P)"
"九月","九月 ９月 くがつ n:    September/  ninth month of the lunar calendar/(P)"
"ＯＫ","ＯＫ  オッケー オーケー int n vs:  OK/okay/(P)"
"ＯＬ","ＯＬ  オーエル n:    (abbr) (sens) (See オフィスレディー) female office worker/office lady/OL/  (abbr) (See オーバーラップ) overlap/  (abbr) (See オリエンテーリング) orienteering"
"ああ","ああ   adv:  (See 斯う・1,然う・1,如何・どう) like that (used for something or someone distant from both speaker and listener)/so/(P)
ああ 嗟 嗚呼 噫 ああ あー あぁ アー アア アァ int:    (uk) (also written as 於乎, 於戯, 嗟乎, 嗟夫, 吁, etc.) ah!/oh!/alas!/  (uk) yes/indeed/that is correct/  (uk) (in exasperation) aah/gah/argh/  (uk) hey!/yo!/  (uk) uh huh/yeah yeah/right/gotcha/(P)"
"呆れ返る","呆れ返る 呆れかえる あきれ返る あきれかえる v5r vi:  to be utterly amazed/to be stunned/to be disgusted"
"明くる日","明くる日 あくる日 あくるひ n-adv n-t:  next day/following day/(P)"
"あだ名","あだ名 渾名 諢名 綽名 仇名 あだな こんめい n:  nickname/(P)"
"あっさり","あっさり アッサリ  adv adv-to vs:    (on-mim) easily/readily/quickly/flatly (refuse)/  (on-mim) lightly (seasoned food, applied make-up, etc.)/plainly/simply/(P)"
"あの","あの あのー あのう  int:  say/well/um/er/(P)
あの 彼の あの かの あん adj-pn:  (uk) (someone or something distant from both speaker and listener, or situation unfamiliar to both speaker and listener) (See 何の・どの,此の・1,其の・1,彼・あれ・1) that/(P)"
"あの世","あの世 彼の世 あのよ n:  the other world/world of the dead/netherworld/(P)"
"あべこべ","あべこべ   adj-no adj-na n:  (on-mim) contrary/opposite/inverse/reverse/back-to-front/(P)"
"あやふや","あやふや   adj-na n:  (on-mim) uncertain/vague/ambiguous/(P)"
"有り合わせ","有り合わせ 有りあわせ 有り合せ あり合せ あり合わせ ありあわせ adj-no n:  (uk) on hand/readily available/(P)"
"有り得る","有り得る あり得る 有りうる 有りえる ありうる ありえる adj-f exp:  possible/likely/probable"
"あんな","あんな   adj-pn:  (about something or someone distant from both speaker and listener, or about a situation unfamiliar to both speaker and listener) (See こんな,そんな・1,どんな・1) such/so/that sort of/that kind of/like that/(P)"
"あんなに","あんなに   exp:  to that extent/to that degree"
"いい","いい   adj-ix:    (also written 良い) (See 良い・よい・1) good/excellent/fine/nice/pleasant/agreeable/  (See 良い・よい・2) sufficient/enough/ready/prepared/  (See 良い・よい・3) profitable (deal, business offer, etc.)/beneficial/  (as て(も)いい, と(も)いい, etc.; indicates permission or compromise) (See 良い・よい・4) OK/all right/fine/no problem/(P)
いい 謂 いい n:  (uk) (usu. as 〜のいい) what was said/what it means/origin of a story (or tradition, etc.)"
"いい加減","いい加減 好い加減 好加減 いいかげん adj-na:    irresponsible/perfunctory/careless/  lukewarm/half-baked/halfhearted/vague/  (usu. in suggestions or orders) (See いい加減にする) reasonable/moderate/(adv)   considerably/quite/rather/pretty/(P)"
"いい加減にしろ","いい加減にしろ  いいかげんにしろ exp:  (See いい加減にしなさい) that's enough!/cut it out!/get a life!/(P)"
"いざこざ","いざこざ イザコザ  n:  trouble/quarrel/difficulties/complication/tangle/(P)"
"いそいそ","いそいそ イソイソ  adv-to adv vs:  (on-mim) cheerfully/excitedly/(P)"
"いっそ","いっそ   adv:  (formerly written as 一層) rather/sooner/preferably/(P)"
"いつの間に","いつの間に 何時の間に いつのまに exp adv:  when/at what point"
"いつの間にか","いつの間にか 何時の間にか いつのまにか adv:  before one knows/before one becomes aware of/unnoticed/unawares/(P)"
"いつ頃","いつ頃 何時頃 何時ごろ いつごろ n-t:  about when/about what time/how soon/(P)"
"いらっしゃい","いらっしゃい いらしゃい  int:    (hon) (used as a polite imperative) (See いらっしゃる・1) come/go/stay/  (See いらっしゃいませ) welcome/(P)"
"いらっしゃいませ","いらっしゃいませ いっらしゃいませ いらしゃいませ  exp:  welcome (in shops, etc.)/(P)"
"いらっしゃる","いらっしゃる   v5aru vi:    (hon) (sometimes erroneously written 居らっしゃる) to come/to go/to be (somewhere)/(v5aru,aux-v)   (hon) (after a -te form, or the particle ""de"") to be (doing)/(P)"
"ううん","ううん うーん ウーン  int:    (See うん・2) um/er/well/  (ううん only) nuh-uh/no/  (See うん・3) oof/(P)"
"うずうず","うずうず ウズウズ  adv adv-to vs:  (on-mim) itching to do something/impatient/sorely tempted/eager/(P)"
"うっかり","うっかり ウッカリ  adv adv-to vs:  (on-mim) carelessly/thoughtlessly/inadvertently/(P)"
"うっとり","うっとり ウットリ  adv adv-to vs:    (on-mim) ecstatically/spellbound/with rapt attention/  (on-mim) abstractedly/absentmindedly/absorbedly/vacantly"
"俯せ","俯せ うつ伏せ うつぶせ n adj-no:    (See 俯せる・うつぶせる) lying face down/lying on one's face/(n)   placing upside down/placing face down"
"うとうと","うとうと ウトウト ウトっと ウトッと うとっと  adv adv-to vs:  (on-mim) falling into a doze/dozing off/nodding off/(P)"
"うなぎ丼","うなぎ丼 うな丼 鰻丼 うなどん うなぎどんぶり n:  bowl of eel and rice (donburi)"
"うろうろ","うろうろ ウロウロ  adv adv-to:    (on-mim) restlessly/aimlessly/without purpose/(vs)   (on-mim) (See 彷徨く・1) to loiter/to drift/to hang about doing nothing/to wander aimlessly/to be restless/  (on-mim) to be restless/to fuss/to be in a fidget/(P)"
"うん","うん ううむ うむ  int:    yes/yeah/uh huh/  hum/hmmm/well/erm/  (うん only) (moan or groan (of pain)) oof/(P)
うん ん ン  n-pref:  some (at the start of a number in place of a digit)"
"うんざり","うんざり ウンザリ  adv adv-to vs:  (on-mim) tedious/boring/being fed up with/(P)"
"うんと","うんと   adv:    (on-mim) a great deal/very much/a lot/  (on-mim) (arch) with a great amount of effort"
"おい","おい オイ オーイ おおい おーい オオイ  int:    hey!/oi!/ahoy!/(pn)   (おい only) (ksb:) I/me/(P)"
"お節料理","お節料理 おせち料理 御節料理 おせちりょうり n:  food served during the New Year's Holidays/(P)"
"おろおろ","おろおろ オロオロ  adv adv-to vs:    (on-mim) in confusion/in a fluster/in bewilderment/in a dither/in a panic/all shook up/helplessly/  (on-mim) sobbing/tearfully/trembling (voice)/(P)"
