Id	English	Japanese	Level
1	based on; from	をもとに	N2
2	depending on	いかんでは/いかんによっては	N1
3	as; due to; with; along with; following	に伴って	N2
4	want to	たがる	N4
5	more and more, continue to	一方だ	N3
6	since; because	ことだし	N1
7	approximately; about	というところだ/といったところだ	N1
8	truly; really; as if	さも	N1
9	or	なり～なり	N1
10	to do something (honorific)	お～になる	N4
11	having said that; be that as it may	とはいうものの	N1
12	to do something to the end; competely, extremely	抜く	N2
13	such as, things like, the likes of	など	N4
14	by means of; with	をもって	N1
15	even	だに	N1
16	although; in spite of; even though	のに	N4
17	must be; is definitely	でなくてなんだろう	N1
18	is okay, is alright to, can, may	てもいい	N5
19	in defiance of	をものともせず	N1
20	not only… but also, as well as	ばかりでなく	N3
21	like; as if; the same as	ごとき/ごとく	N1
22	along with; in accordance with	に沿って	N2
23	as a good opportunity to; as a result of	を契機に	N2
24	though; even if; whether… or	にしろ / にせよ	N2
25	if… then; after; when	たら	N4
26	style; manner	ぶり	N1
27	even if one tries to do something, it can’t be done	(よ)うにも～ない	N1
28	can do nothing but; there’s only	ただ～のみだ	N1
29	it’s not necessary to	までもない	N1
30	once something occurs, something else happens	が最後	N1
31	thanks to, because of	おかげで	N3
32	from one’s perspective; from the point of view of	にしたら	N2
33	the most … of all	きっての	N1
34	there is no way to; it’s impossible to	ようがない/ようもない	N2
35	I need you to…	てほしい	N4
36	have no choice but	しかない	N3
37	even if; no matter	とも	N2
38	plan to, intend to	よていだ	N4
39	only	までだ	N1
40	impossible; unlikely	そうにもない	N1
41	slightly	わずかに	N2
42	to become	なる	N5
43	must; will definitely	ないではすまない/ずにはすまない	N1
44	the moment (something happens)	た瞬間に	N1
45	already; long ago	とっくに	N2
46	can…; it’s okay if…	ても差し支えない	N1
47	how; how much	いかに	N1
48	aside from; apart from; except for; whether or not	は別として	N2
49	precisely because	からこそ	N2
50	suitable for	向き	N3
51	to exist, there is/are	がいる	N5
52	only	くらいのものだ	N1
53	before, in front of	まえに	N5
54	as much as possible	なるべく	N1
55	after doing something, since	てから	N5
56	do such things like	たり～たり	N4
57	there’s a possibility that	可能性がある	N1
58	leaving (something) on, leaving (something) still in use	っぱなし	N3
59	in order to; for	には	N2
60	as one would expect; even	さすが	N4
61	continue to (similar to 一方だ)	ばかりだ	N3
62	to look; to seem; to appear	にみえる	N4
63	end up; in the end	始末だ	N1
64	you could say; you might say	といってもいい	N4
65	unable to; cannot	えない	N2
66	let alone; not to mention; needless to say	はおろか	N1
67	to the extent that, so much… that; the more	ほど	N3
68	after; later	あとで	N4
69	may not, must not	てはいけない	N5
70	-like; sort of; similar to; resembling	みたい	N4
71	but, although, despite	ながらも	N3
72	each; every; at intervals of	ごとに	N2
73	against; contrary to; in contrast to	に反して	N2
74	when	とき	N4
75	unless you do something	ないことには～ない	N2
76	please do; could you please…; I ask of you to	お～願う	N2
77	to get somebody to do something	てもらう	N4
78	or something	か何か	N2
79	because of	せいで	N3
80	need, it is necessary to	ひつようがある	N4
81	it doesn’t end with just…	ではすまない	N1
82	(I’m not sure if it’s) A or B	というか～というか	N1
83	I heard…	ときいた	N4
84	in; on	中を	N2
85	together with; along with	と相まって	N1
86	was just about to do something	ところだった	N2
87	before; prior to	に先立ち	N2
88	extremely; exceedingly	極めて	N1
89	each time, every time, whenever (something happens), on the occasion of	たびに	N3
90	depending on the situation	場合によっては	N1
91	if; in case; if it is the case that; as for	なら	N4
92	not until, only after… did I	てはじめて	N3
93	I’ve heard that…; rumour has it that…; it appears as if…	ということだ	N3
94	always; never stop; can’t help but	てやまない	N1
95	nothing but; none other than	にほかならない	N2
96	dare to; daringly; deliberately	あえて	N1
97	the moment that; no sooner than; as soon as	や否や	N1
98	merely; nothing but; no more than	でしかない	N2
99	to do all that one can	だけは	N2
100	must do, should do	べき	N3
101	unless something is done, something else can’t occur	てからでないと	N2
102	than	より	N4
103	can’t; cannot possibly be	べくもない	N1
104	now that/since (something has happened)	てこそ	N2
105	indicates two contrasting actions	つ～つ	N1
106	as well; besides; in addition to; not only… but also	上に	N2
107	to love / to like doing something	のがすき	N5
108	(please) try to, (please) look	てごらん	N3
109	to give something a try	ひとつ	N1
110	while (doing); in addition to; at the same time	かたわら	N1
111	even; even if	にしたって	N1
112	both… and …; everytime something happens	につけ	N2
113	as much as; as many as	からある	N1
114	in contrast to	にひきかえ	N1
115	or; or else	それとも	N2
116	more than; not less than	以上に	N2
117	might; maybe; probably	かもしれない	N4
118	and yet; despite this; but even so	それなのに	N2
119	the point is…; in short…; to put it simply	要するに	N2
120	no matter how	どんなに～ても	N3
121	to be enough; to be worthy of	に足る/に足りる	N1
122	not one bit; not even a little	少しも～ない	N2
123	it seems that, it appears that, it looks like	ようだ	N4
124	for the first time in (period of time)	ぶりに	N2
125	can’t help but feel; can’t help but do	ないではいられない	N2
126	even though	かいもなく	N1
127	hard to, difficult to	がたい	N3
128	let’s, won’t you, wouldn’t you	ませんか	N5
129	on the occasion of; at the time of	に際して	N2
130	in; on; at; during; in the condition of	にあって	N1
131	in comparison with; according to	に照らして	N1
132	for, for the sake of, in order to	ために	N3
133	at the same time as	と同時に	N2
134	it’s not worth; there’s no need to	にあたらない	N1
135	filled with	をこめて	N2
136	in, at, on, to	に	N5
137	or; or more precisely; or perhaps I should say	というか	N1
138	around; about	ごろ	N4
139	to do for	てあげる	N4
140	by means of, due to	によって / による	N3
141	there’s no end to	きりがない	N1
142	when; once (something happens)	ともなると/ともなれば	N1
143	never; by no means; not in the least; in no way	決して～ない	N3
144	that is to say; so that means	ということは	N2
145	according to	によると / によれば	N3
146	to be made to do something (passive causative)	させられる	N4
147	now that; since	上は	N2
148	indeed; really	いかにも	N1
149	when it comes to; as for	に至っては	N1
150	throughout; over a period of	にわたって	N2
