vocab,defcount
日,1
一,2
人,3
年,1
人々,1
十,1
一つ,1
二,1
二人,1
本,2
十一,1
中,2
出,1
三,1
十三,1
十二,1
日本人,1
月,1
生,1
五,1
十五,1
十一月,1
三人,1
二つ,1
上,3
四,1
四月,1
五十,1
三十,1
金,2
九,1
十九,1
十四,1
三月,1
三十日,1
人生,1
上がったり,1
本人,1
九月,1
四十,1
五月,1
十二月,1
三つ,1
手,1
年生,1
力,2
学,1
大学,1
大手,1
円,1
出す,1
子,1
学生,1
九十,1
年金,1
目,1
十月,1
田,1
入り,1
八,1
八月,1
九九,1
五つ,1
一月,1
六,1
六月,1
下,2
四つ,1
十八,1
上田,1
気,1
人気,1
六十,1
一円,1
八十,1
七,1
七月,1
二月,1
山,1
大人,1
正,1
十七,1
女,1
百,1
二百,1
十六,1
七十,1
日中,1
先,1
女子,1
一本,1
日々,1
名,1
小学生,1
四百,1
川,1
七七日,1
先生,1
小川,1
金子,1
文,2
千,1
三千,1
先月,1
九つ,1
水,1
一人,1
お金,1
男,1
四千,1
村,1
中学生,1
文学,1
見出し,1
口,1
人口,1
二七日,1
三百,1
一気,1
小学,1
町,1
男子,1
空,2
生きる,1
七つ,1
中学,1
土,1
学校,1
大山,1
男女,1
名人,1
山村,1
木,1
入り口,1
水田,1
先に,1
車,1
女子大,1
石,2
男の子,1
大きな,1
小山,1
空気,1
大気,1
足,1
川上,1
小学校,1
早,1
四本,1
六日,1
白,1
大口,1
三男,1
白人,1
下車,1
上下,2
土木,1
字,2
中小,1
女の子,1
見つかる,1
本名,1
音,1
下町,1
出口,1
天,1
山手,1
中学校,1
火,1
火山,1
村人,1
本音,1
年々,1
見つめる,1
花,1
二百二十日,1
空白,1
町村,1
天気,1
花火,1
赤字,1
中でも,1
早々,2
名目,1
青,1
六つ,1
一男,1
四十九日,1
青年,1
正月,1
文字,1
三本,1
竹,1
川口,1
赤ちゃん,1
右,1
青山,1
早める,1
上空,1
森,1
大正,1
入学,1
一生,1
左,1
手口,1
手足,1
中立,1
青木,1
花見,1
休日,1
林,1
森林,1
十字,1
出生,1
下げる,1
王,1
小口,1
九日,1
休み,1
玉,1
年男,1
出力,1
土石,1
目玉,1
夕,1
先日,1
生る,1
左右,1
山川,1
下り,1
立ち入り,1
雨,1
本文,1
女王,1
右手,1
出足,1
日本一,1
草,1
大雨,1
犬,1
一千,1
山林,1
八本,1
早い,1
耳,1
青空,1
虫,1
見る,1
二百十日,1
一年生,1
糸,1
上げ,1
大木,1
天下り,1
貝,1
耳目,1
糸口,1
空中,1
国,1
足早,1
本気,1
見どころ,1
雨水,1
会,2
赤い,1
夕べ,1
長,1
青竹,1
お年玉,1
目白,1
同,1
火力,1
左手,1
町中,1
時,1
一時,2
早口,1
王子,1
一石,1
二八,1
火花,1
行,1
水上,1
出火,1
社会,1
自ら,1
国会,1
分,2
自分,1
大いに,1
会長,1
上がり,1
後,2
生糸,1
本社,1
同日,1
会見,1
花びら,1
火口,1
山男,1
前,2
本の,1
先手,1
村立,1
行う,1
天下,1
一足,2
間,2
会社,1
年月,1
三女,1
本土,1
東,1
前年,1
長男,1
立ち上がり,1
水中,1
金石,1
地,1
早まって,1
同社,1
合,1
七夕,1
中年,1
市,2
同市,1
大男,1
時間,1
社長,1
内,2
一二,1
本山,1
一口,1
中東,1
方,2
年間,1
中日,1
今,1
今年,1
国内,1
同時,1
十分,1
回,1
地方,1
大小,1
人間,1
新,1
大会,1
新た,1
木々,1
今月,1
休する,1
同国,1
一字,1
見学,1
場,1
七五三,1
竹の子,1
今回,1
見える,1
中間,1
林立,1
米,1
火の玉,1
米国,1
今後,1
町人,1
目下,2
夕日,1
高,1
名前,1
一方,1
年月日,1
千生,1
明らか,1
日米,1
天文,1
市内,1
王手,1
空き,1
京,1
立ち,1
東京,1
高校,1
市場,2
中国,1
前日,1
見方,1
前回,1
市長,1
気分,1
土地,1
通,1
出土,1
上り,1
水虫,1
自社,1
新人,1
今日,1
小雨,1
外,3
外国人,1
手玉,1
円高,1
小町,1
白い,1
草花,1
月々,1
七三,1
言,1
市町村,1
見通し,1
空間,1
新生,1
三々五々,1
理,1
会合,1
立場,1
高校生,1
体,1
一回,1
言わば,1
目先,1
市立,1
三時,1
赤土,1
竹林,1
当時,1
間もなく,1
外国,1
出場,1
男らしい,1
首,1
行方,1
一女,1
言う,1
来,1
同月,1
会場,1
国立,1
作,1
口々,1
人目,1
七日,1
用,1
気力,1
雨天,1
天文学,1
年内,1
市中,1
花王,1
入社,1
時々,1
車中,1
大国,1
草木,1
子女,1
足音,1
青い,1
公,1
円い,1
来年,1
口火,1
本当,1
分け,1
野,1
水玉,1
白糸,1
出入り口,1
土手,1
中京,1
下さい,1
校長,1
思う,1
町名,1
大きい,1
内外,1
家,3
分ける,1
子会社,1
同一,1
話,1
地下,1
手早い,1
思い,1
青ざめる,1
本来,1
多,1
分野,1
先行,1
一校,1
合同,1
数,2
休む,1
今や,1
思わず,1
王女,1
地上,1
長女,1
男っぽい,1
来月,1
記,1
国家,1
金糸,1
後ろ,1
夕立,1
前後,1
北,1
社内,1
多数,1
入場,1
上京,1
強さ,1
同町,1
午,1
高さ,1
午前,1
来日,1
大名,1
一言,1
山々,1
名字,1
生き生き,1
心,2
左四つ,1
休まる,1
女学校,1
北京,1
二見,1
同行,1
数字,1
右四つ,1
王立,1
話し合い,1
強力,1
点,1
午後,1
一首,1
作家,1
今まで,1
本木,1
中心,1
自国,1
学年,1
生け花,1
作る,1
書記,1
白玉,1
二つ目,1
四川,1
会話,1
上場,1
新米,1
正午,1
通り,2
首長,1
入力,1
生活,1
東北,1
円み,1
出入り,1
三校,1
原,1
文書,1
長時間,1
強気,1
外交,1
社会人,1
同年,1
月日,2
長年,1
口ぶり,1
北方,1
田んぼ,1
五分,1
出来高,1
米人,1
心理,1
一目,1
元,1
文明,1
夕方,1
地元,1
野生,1
下山,1
自立,1
時点,1
日ごろ,1
通話,1
一家,1
目前,1
思い出,1
二の足,1
当日,1
考え,1
本校,1
男手,1
原子力,1
元首,1
方々,2
青々,1
画,1
大野,1
国外,1
一体,1
足首,1
新作,1
公明,1
言い方,1
海,1
目の前,1
考え方,1
月間,1
一見,1
明日,1
元気,1
生み,1
小石,1
右左,1
内野,1
組,1
土中,1
海外,1
足る,1
北東,1
川下,1
強める,1
思いやり,1
交通,1
出来,2
足元,1
回数,1
道,1
北海道,1
新しい,1
五日,1
東海,1
今一つ,1
学会,1
日記,1
知る,1
中耳,1
大火,1
水草,1
売り上げ,1
手前,1
石山,1
半,1
時半,1
同校,1
組合,1
体力,1
元日,1
生後,1
足らず,1
計,1
新車,1
手首,1
町はずれ,1
分子,1
作り,1
計画,1
活用,1
引き上げ,1
生かす,1
原理,1
思考,1
用地,1
回し,1
直,2
八日,1
学長,1
見直し,1
車内,1
正当,1
東口,1
１０００円,1
後半,1
白書,1
国交,1
立ち木,1
本体,1
日時,1
言い分,1
朝,1
同点,1
海上,1
近年,1
合計,1
引き下げ,1
後方,1
新年,1
中国人,1
西,1
年来,1
活力,1
五十音,1
前半,1
内野手,1
考える,1
町長,1
当地,1
記す,1
台,1
中前,1
口コミ,1
多大,1
赤子,1
話し合う,1
二本立て,1
四天王,1
下手,2
知人,1
直前,1
右中間,1
元年,1
大金,1
半分,1
原点,1
売上高,1
新入,1
電話,1
外来,1
画家,1
先々,1
正しい,1
当たり前,1
場合,1
外野手,1
上手,1
公立,1
少し,1
高まる,1
人数,1
教会,1
大空,1
早まる,1
東西,1
直後,1
年明け,1
強引,1
大半,1
工場,1
八つ,1
電気,1
売り,1
手間,1
女学生,1
当分,1
語,1
学力,1
１００円ショップ,1
来る,1
今に,1
少なくとも,1
野外,1
地点,1
思い出す,1
日本海,1
入手,1
国王,1
直ちに,1
生き,1
電力,1
明るい,1
多分,1
売れ行き,1
赤々,1
新聞,1
下火,1
一行,1
早朝,1
下方,1
日本語,1
手元,1
少年,1
玉音,1
分かり,1
手当,1
活字,1
切,1
心から,1
会計,1
見本市,1
広い,1
大切,1
半年,1
外野,1
高い,1
食,1
電車,1
聞かす,1
見本,1
売り場,1
手作り,1
明白,1
少数,1
朝日,1
何,1
組長,1
先見,1
大台,1
何か,1
出方,1
強み,1
一人っ子,1
合わせる,1
長さ,1
広場,1
手話,1
方言,1
工作,1
南,1
活気,1
数百,1
南北,1
西日本,1
通行,1
電子,1
お八つ,1
通知,1
空手,1
高まり,1
左前,1
新聞社,1
番組,1
原作,1
水道,1
言語,1
大字,1
作文,1
先行き,1
北上,1
明記,1
当たり,1
広げる,1
時計,1
東南,1
一元,1
外出,1
分かれる,1
月見,1
数々,1
楽,1
音楽,1
一番,1
少女,1
人道,1
中原,1
何も,1
生前,1
売る,1
用語,1
万,1
下校,1
聞き手,1
間近,1
土のう,1
中止,1
百万,1
一切,1
七草,1
引き金,1
野中,1
耳より,1
人工,1
店,2
広がり,1
当社,1
半数,1
合う,1
家計,1
家電,1
土台,1
楽しみ,1
数日,1
強行,1
元本,1
線,1
山間,1
人文,1
青少年,1
小さじ,1
名手,1
何とか,1
四日,1
年休,1
十万,1
通算,1
国語,1
思い切って,1
出る,1
十文字,1
声,1
日の目,1
声明,1
南西,1
同人,1
国土,1
後手,1
親,1
当てる,1
立体,1
年下,1
本番,1
小女子,1
三日月,1
正直,1
台本,1
多少,1
何の,2
水分,1
計算,1
文字通り,1
形,1
書道,1
入校,1
一時金,1
心理学,1
知名,1
男のコ,1
中元,1
高める,1
数万,1
外国語,1
音声,1
水口,1
工学,1
頭,2
南アフリカ,1
本書,1
名作,1
白水,1
広さ,1
お話し中,1
近づき,1
出会い,1
自首,1
体内,1
毎,2
番手,1
手入れ,1
毎日,1
休校,1
北西,1
一点,1
思い思い,1
四方,1
野手,1
何より,1
数多く,1
国道,1
町内,1
知り合い,1
通じ,1
山形,1
門,1
切手,1
書店,1
高原,1
大文字,1
語らう,1
上々,1
大工,1
先頭,1
中南米,1
半ば,1
北アイルランド,1
答,1
回答,1
回す,1
毎年,1
交わす,1
国体,1
今時,1
出番,1
夜,1
組み立て,1
公算,1
王朝,1
何でも,1
点数,1
口先,1
日夜,1
見当たらない,1
上方,1
中道,1
手本,1
数学,1
出来る,1
林学,1
海水,1
本店,1
水木,1
分かる,1
親子,1
帰国,1
後日,1
小手先,1
南米,1
語る,1
教え,1
夕食,1
自前,1
谷,1
広大,1
生体,1
谷川,1
何人,1
人形,1
古,1
二番,1
点字,1
玉ねぎ,1
一一,1
西口,1
立方メートル,1
自力,1
言い回し,1
東国,1
見直す,1
公社,1
親方,1
店頭,1
人文字,1
歌,1
今朝,1
大分,1
歌手,1
南東,1
毎月,1
語学,1
聞き書き,1
電通大,1
話す,1
山野,1
本場,1
作用,1
天文台,1
教え子,1
声楽,1
少々,1
上がる,1
夜間,1
下る,1
記入,1
売買,1
大作,1
社会学,1
何回,1
白木,1
木立,1
下水道,1
光,1
答え,1
谷間,1
公正,1
本日,1
十日,1
大方,1
切り,1
通学,1
科,1
目当て,1
直し,1
地中海,1
科学,1
毎回,1
朝食,1
明言,1
青白い,1
一文,1
前夜,1
下水,1
原子,1
朝夕,1
名門,1
雨中,1
何と,1
野合,1
人体,1
力強い,1
社名,1
少ない,1
白米,1
図,1
帰り,1
万一,1
日数,1
教科書,1
回線,1
週,1
出直し,1
毎朝,1
買い,1
ビー玉,1
西方,1
入金,1
一夜,1
高山,1
丸,1
入門,1
大地,1
細かく,1
草原,1
手形,1
何とも,1
引き出し,1
出来るだけ,1
合間,1
百人一首,1
日の丸,1
日光,1
人名,1
室,1
学科,1
考古学,1
教室,1
少なからず,1
野山,1
一線,1
朝方,1
手記,1
小切手,1
毎週,1
万国,1
東方,1
南方,1
見当たる,1
同夜,1
語り,1
組む,1
一手,1
歩,1
前売り,1
地図,1
会頭,1
西ドイツ,1
何ら,1
室内,1
明かり,1
国々,1
外科,1
空前,1
風,2
天王山,1
歌人,1
中古,1
今週,1
白日,1
目まぐるしい,1
強大,1
食生活,1
気楽,1
紙,1
切る,1
十八番,1
広東,1
手紙,1
下野,1
止まる,2
下さる,1
小売店,1
南海,1
北海,1
本朝,1
当の,1
母,1
細かい,1
交える,1
母親,1
直下,1
室長,1
元来,1
聞こえる,1
入国,1
場内,1
台風,1
何十,1
回生,1
先週,1
今夕,1
黒,1
地理,1
シャボン玉,1
前線,1
円形,1
黒字,1
親会社,1
回帰,1
自白,1
戸,1
買う,1
用紙,1
早場米,1
声高,1
北国,1
文楽,1
一考,1
一歩,1
出店,1
強い,1
お母さん,1
通い,1
図書,1
春,1
高台,1
近海,1
夜中,1
大王,1
広まり,1
今春,1
本国,1
一週間,1
女人,1
黒人,1
風土,1
知り合う,1
台頭,1
正木,1
